#,PROG CODE,INSTITUTION NAME,PROGRAMME NAME,MEAN GRADE,SUBJECT REQUIREMENTS,,,,
DIPLOMA IN SOCIAL WORK AND COMMUNITY DEVELOPMENT,,,,,,,,,
22,1237556,ELDORET POLYTECHNIC,DIPLOMA IN FOOD & BEVERAGES PRODUCTION,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
23,1239556,NYERI NATIONAL POLYTECHNIC,DIPLOMA IN FOOD AND BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
24,1241556,RAMOGI INSTITUTE OF ADVANCE TECHNOLOGY,DIPLOMA IN FOOD & BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
25,1243556,WOTE TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGES,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
26,1246556,MURANGA UNIVERSITY OF TECHNOLOGY,DIPLOMA IN FOOD AND BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
27,1276556,RIFT VALLEY INSTITUTE OF SCIENCE AND TECHNOLOGY,"DIPLOMA IN FOOD AND BEVERAGES PRODUCTION, SALES & SERVICE MANAGEMENT.",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
28,1277556,MUKIRIA TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD & BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
29,1307556,MATILI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
30,1382556,MICHUKI TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGE(PRODUCTION AND SERVICE),C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
31,1405556,MUSAKASA TECHNICAL TRAINING INSTITUTE,"DIPLOMA IN FOOD AND BEVERAGE PRODUCTION,SALES AND SERVICES",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
32,1430556,SIAYA INSTITUTE OF TECHNOLOGY,DIPLOMA IN FOOD AND BEVERAGE PRODUCTION AND SERVICE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
33,1440556,KAREN TECHNICAL TRAINING INSTITUTE FOR THE DEAF,"DIPLOMA IN FOOD & BEVERAGE PROD,SALES & SERVICES MANAGEMENT",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
34,1560556,MAWEGO TECHNICAL TRAINING INSTITUTE,"DIPLOMA IN FOOD AND BEVERAGES PRODUCTION, SALES & SERVICE MANAGEMENT.",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
,,,,,,,,,
#,PROG CODE,INSTITUTION NAME,PROGRAMME NAME,MEAN GRADE,SUBJECT REQUIREMENTS,,,,
35,1575556,TSEIKURU TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
36,1625556,MAASAI MARA TECHNICAL VOCATIONAL COLLEGE,DIPLOMA IN FOOD AND BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
37,1665556,KARUMO TECHNICAL TRAINING INSTITUTE,DIPLOMA IN FOOD AND BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
38,1705556,SOT TECHNICAL TRAINING INSTITUTE,"DIPLOMA IN FOOD & BEVERAGE PRODUCTION,SALES & SERVICE MANAGEMENT",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
39,1925556,KONOIN TECHNICAL TRAINING INSTITUTE,"DIPLOMA IN FOOD AND BEVERAGE PRODUCTION,SALES AND SERVICES",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
40,2560556,MASINGA TECHNICAL AND VOCATIONAL COLLEGE,"DIPLOMA IN FOOD AND BEVERAGE,PRODUCTION AND SERVICE",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
41,3740556,BUNYALA TECHNICAL AND VOCATIONAL COLLEGE,"DIPLOMA IN FOOD AND BEVERAGES PRODUCTION, SALES & SERVICE MANAGEMENT.",C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
42,3745556,EMSOS TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN FOOD AND BEVERAGE,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
43,3775556,LAIKIPIA EAST TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN FOOD AND BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
44,3780556,LAIKIPIA NORTH TECHNICAL AND VOCATIONAL COLLEGE,DIPLOMA IN FOOD & BEVERAGE MANAGEMENT,C-,BIO: D+,CHE: D+,ENG/KIS: D+,HSC/AGR: D,
